"Date","1 Month 5 Years Payer ATMF Implied BP Vol","3 Month 5 Years Payer ATMF Implied BP Vol","9 Month 5 Years Payer ATMF Implied BP Vol","1 Year 5 Years Payer ATMF Implied BP Vol","18 Month 5 Years Payer ATMF Implied BP Vol","2 Years 5 Years Payer ATMF Implied BP Vol","3 Years 5 Years Payer ATMF Implied BP Vol","4 Years 5 Years Payer ATMF Implied BP Vol","5 Years 5 Years Payer ATMF Implied BP Vol"
24-May-18,3.33599,3.46677,3.89448,4.05668,4.20749,4.35838,4.53539,4.61465,4.63783
25-May-18,3.50957,3.56372,3.93552,4.09456,4.24221,4.38995,4.55905,4.63437,4.65364
29-May-18,4.34041,4.29741,4.39122,4.4732,4.53813,4.60299,4.72529,4.76064,4.75621
30-May-18,4.11414,4.15155,4.33441,4.41647,4.49162,4.56525,4.7018,4.7488,4.75621
31-May-18,4.11123,4.1757,4.37386,4.46381,4.55912,4.65155,4.74902,4.78825,4.80355
01-Jun-18,3.88305,4.01743,4.27524,4.3928,4.49789,4.60299,4.70899,4.76458,4.79566
04-Jun-18,3.61461,3.86752,4.19634,4.33757,4.4545,4.57143,4.68532,4.74486,4.77988
05-Jun-18,3.60671,3.84385,4.17267,4.29812,4.43083,4.56354,4.68532,4.74486,4.77988
06-Jun-18,3.73282,3.93853,4.23579,4.34546,4.46239,4.57932,4.7011,4.75275,4.77988
07-Jun-18,3.78821,3.95431,4.25946,4.37702,4.49395,4.61088,4.73266,4.77642,4.79566
08-Jun-18,4.01702,4.04899,4.34625,4.42436,4.54129,4.65821,4.76422,4.80403,4.81933
11-Jun-18,3.89868,4.01743,4.32652,4.42436,4.53734,4.65032,4.75633,4.80009,4.81933
12-Jun-18,3.77247,3.89119,4.21606,4.32968,4.4545,4.57932,4.7011,4.75275,4.77988
13-Jun-18,3.54525,3.71454,4.11665,4.26993,4.39708,4.52424,4.65376,4.7133,4.74832
14-Jun-18,3.44275,3.6513,4.04167,4.18325,4.32616,4.46901,4.59854,4.65807,4.69309
15-Jun-18,3.52159,3.65917,4.02983,4.15956,4.3104,4.46111,4.59076,4.64634,4.67731
