"Date","Euro (vs. 3M Euribor) 10 Years Term Spot Fwd Mid Rate","Euro (vs. 3M Euribor) 10 Years Term Spot Fwd Modified Duration","Germany 10 year Mid Yield","Germany 10 year Mid Price","Germany 10 year Dirty Mid Price","Italy 10 year Mid Yield","Italy 10 year Mid Price","Italy 10 year Dirty Mid Price"
21-Mar-18,0.95711,9.73358,0.59312,99.10669,99.20258,1.92832,100.72262,100.99886
22-Mar-18,0.90091,9.76154,0.51689,99.83716,99.93716,1.87283,101.21679,101.50961
23-Mar-18,0.91338,9.75557,0.52349,99.77379,99.87516,1.86731,101.26588,101.56422
26-Mar-18,0.91173,9.75514,0.52014,99.80605,99.90879,1.91371,100.85156,101.15543
27-Mar-18,0.89178,9.76763,0.49958,100.00369,100.1078,1.86557,101.28073,101.59012
28-Mar-18,0.88555,9.76952,0.49654,100.03289,100.14385,1.83735,101.53142,101.86844
29-Mar-18,0.88381,9.7713,0.49143,100.08199,100.19431,1.77929,102.05244,102.39498
02-Apr-18,N/A,N/A,0.49143,100.08199,100.19568,1.77923,102.05244,102.40051
03-Apr-18,0.87836,9.77266,0.50196,99.98081,100.09451,1.78888,101.96555,102.31362
04-Apr-18,0.86514,9.77923,0.49108,100.08537,100.20044,1.74405,102.3692,102.72279
05-Apr-18,0.88631,9.77258,0.5197,99.81084,99.93002,1.77464,102.09159,102.46176
06-Apr-18,0.86705,9.77807,0.49154,100.08084,100.20138,1.78092,102.03458,102.41027
09-Apr-18,0.87256,9.77523,0.50435,99.95796,100.07988,1.76369,102.18905,102.57027
10-Apr-18,0.87215,9.77333,0.52136,99.79509,99.91838,1.79282,101.92658,102.31332
11-Apr-18,0.84809,9.78357,0.49093,100.08662,100.21128,1.77834,102.05614,102.44841
12-Apr-18,0.86827,9.78022,0.50982,99.9057,100.03447,1.80396,101.82478,102.23362
